rut,primer_nombre,segundo_nombre,apellido_paterno,apellido_materno,telefono,email,direccion,edad,presupuesto
19318530-4,Maximiliano,Ignacio,Saavedra,Vargas,946064875,maximiliano.saavedra68@gmail.com,"Avenida Argentina 2010, Talcahuano",35,6100000
18908275-4,Ana,Eduardo,Campos,Vargas,988636329,ana.campos69@uandresbello.edu,"Avenida Argentina 1693, Santiago",20,7800000
25885729-1,Rodrigo,Vicente,Vargas,Silva,919671892,rodrigo.vargas70@gmail.com,"Chacabuco 620, Viña del Mar",64,800000
19964956-6,Sofía,Antonio,Henríquez,Pérez,992908311,sofia.henriquez71@uandresbello.edu,"Avenida Brasil 1221, San Pedro de la Paz",37,6600000
18424465-9,Rodrigo,Alejandro,Rojas,Navarro,932749214,rodrigo.rojas72@gmail.com,"San Diego 2089, Concepción",55,1200000
19257552-4,Sofía,Eduardo,Flores,Medina,987209735,sofia.flores73@hotmail.com,"Pedro de Valdivia 1612, Hualpén",42,6400000
19913981-9,Ignacia,Antonia,Carrasco,Molina,959275504,ignacia.carrasco74@gmail.com,"Irarrázaval 1593, San Pedro de la Paz",53,4700000
21643115-4,Joaquín,,Saavedra,Pérez,974016594,joaquin.saavedra75@uandresbello.edu,"Rengo 2419, Chiguayante",42,3500000
22074301-2,Vicente,Javier,Navarro,González,991617056,vicente.navarro76@hotmail.com,"Rengo 1288, Talcahuano",47,1200000
20567927-8,Catalina,Belén,Leiva,Lagos,936412603,catalina.leiva77@uandresbello.edu,"Diagonal Oriente 521, Santiago",43,5200000
21297411-0,Andrés,Nicolás,Ortiz,Flores,982538359,andres.ortiz78@hotmail.com,"Diagonal Oriente 2609, Santiago",16,5100000
16726707-6,Daniela,Isabel,González,Reyes,933791258,daniela.gonzalez79@hotmail.com,"Barros Arana 3687, Santiago",38,5700000
16365738-4,Pamela,Paz,Pizarro,Morales,934548826,pamela.pizarro80@gmail.com,"Avenida Colón 2797, San Pedro de la Paz",42,3800000
25616226-1,Agustín,Eduardo,Rivera,Carrasco,905139715,agustin.rivera81@uandresbello.edu,"Eyzaguirre 810, Talcahuano",27,4200000
25637003-4,Carmen,Ignacia,Leiva,Saavedra,999992509,carmen.leiva82@hotmail.com,"Avenida Colón 369, Santiago",34,3200000
22067229-8,Rodrigo,Constanza,Medina,Bravo,986299242,rodrigo.medina83@uandresbello.edu,"Los Notros 1264, Hualpén",33,4500000
21820459-7,Pamela,Felipe,Pérez,Torres,955720487,pamela.perez84@uandresbello.edu,"Barros Arana 799, Hualpén",25,4500000
18341060-1,Benjamín,Alejandra,Araya,Medina,958780352,benjamin.araya85@outlook.com,"Vicuña Mackenna 1134, Valparaíso",57,7100000
21149859-5,Pamela,Ignacia,Medina,Henríquez,957463440,pamela.medina86@gmail.com,"Las Heras 2531, San Pedro de la Paz",59,3900000
20758398-7,Carmen,Andrés,Rojas,Pizarro,952163093,carmen.rojas87@uandresbello.edu,"Avenida Colón 3153, Santiago",26,6900000
25737264-2,Diego,Vicente,Medina,Sepulveda,923164625,diego.medina88@uandresbello.edu,"Las Heras 2898, Valparaíso",64,1400000
16350855-9,Camila,Alejandro,Ortiz,Henríquez,971200441,camila.ortiz89@outlook.com,"Los Carrera 3916, Hualpén",31,4200000
23327218-3,Matías,Eduardo,Araya,Silva,902139244,matias.araya90@outlook.com,"Maipú 1649, Hualpén",28,8100000
24194565-0,Martín,Fernanda,Ortiz,Morales,989744801,martin.ortiz91@outlook.com,"Maipú 3187, Talcahuano",23,5300000
25762807-8,Francisca,Sebastián,Bustos,Lagos,966551444,francisca.bustos92@hotmail.com,"Maipú 1778, Viña del Mar",26,2400000
24728254-8,Pamela,Vicente,Flores,Bustos,990703537,pamela.flores93@hotmail.com,"Caupolicán 2911, Concepción",23,6700000
23243876-2,Camila,Gabriel,Sepulveda,Vera,914066730,camila.sepulveda94@hotmail.com,"San Diego 1618, Talcahuano",44,1900000
17744155-4,Florencia,Andrés,Molina,Morales,930735723,florencia.molina95@outlook.com,"Janequeo 2059, Concepción",33,5500000
16314902-8,Agustín,Gabriel,Rojas,Bustos,935120894,agustin.rojas96@outlook.com,"Natanael Cox 436, Hualpén",62,2800000
25035584-K,Bastián,Josefina,Carrasco,Lagos,939319291,bastian.carrasco97@uandresbello.edu,"Janequeo 3324, San Pedro de la Paz",55,7000000
17030367-9,Andrés,Vicente,Carrasco,Vargas,925094062,andres.carrasco98@uandresbello.edu,"Paicaví 2531, Santiago",53,2500000
16979298-4,Pamela,Antonio,Soto,Miranda,944646459,pamela.soto99@hotmail.com,"Paicaví 3945, Valparaíso",31,700000
17949241-5,Carmen,Sebastián,Saavedra,Pizarro,946081503,carmen.saavedra100@hotmail.com,"Prat 2140, Concepción",22,6600000
17070206-9,Valentina,Constanza,Campos,González,900868113,valentina.campos101@outlook.com,"Caupolicán 2347, Talcahuano",17,1600000
16004110-2,Fernanda,Alejandro,Morales,Miranda,931894917,fernanda.morales102@outlook.com,"Los Aromos 2147, Santiago",56,3300000
18705462-1,Valentina,Andrea,Silva,Muñoz,933535022,valentina.silva103@hotmail.com,"O'Higgins 1925, Chiguayante",64,2000000
17466952-K,Ignacia,Macarena,Medina,Valdés,970316590,ignacia.medina104@hotmail.com,"Freire 1214, Valparaíso",22,7000000
18379729-8,Pamela,Ignacio,Bustos,Henríquez,955607448,pamela.bustos105@uandresbello.edu,"Lincoyán 1394, Concepción",31,8200000
19893405-4,Ignacia,Sebastián,Saavedra,Pizarro,967418859,ignacia.saavedra106@outlook.com,"Freire 1000, Talcahuano",57,2400000
16996129-8,Martina,Francisca,Aguilera,Contreras,917604922,martina.aguilera107@uandresbello.edu,"Janequeo 2185, Santiago",27,6200000
21077855-1,Antonia,Isabel,Tapia,Rivera,979648934,antonia.tapia108@gmail.com,"Janequeo 3441, Talcahuano",37,4900000
25071652-4,Sebastián,Belén,Soto,Cáceres,964602933,sebastian.soto109@hotmail.com,"Los Aromos 343, Chiguayante",28,1400000
23232321-3,Benjamín,Andrés,Rojas,Carrasco,937962659,benjamin.rojas110@gmail.com,"Janequeo 2782, Concepción",25,5100000
25722473-2,Lucas,Andrea,Bravo,Carrasco,964179874,lucas.bravo111@hotmail.com,"Rengo 3854, San Pedro de la Paz",31,4400000
24959250-1,Benjamín,Andrés,Saavedra,Flores,966499802,benjamin.saavedra112@outlook.com,"Rengo 2929, Santiago",35,7500000
24612832-4,Isidora,Paz,Gutiérrez,Bustos,962691694,isidora.gutierrez113@outlook.com,"La Coruña 2840, Concepción",47,6600000
18972126-9,Tomás,Javier,Lagos,Bustos,985757564,tomas.lagos114@gmail.com,"San Diego 647, Talcahuano",37,4100000
16062000-5,Lucas,Gabriel,Gutiérrez,Aguilera,967002077,lucas.gutierrez115@gmail.com,"Avenida Colón 2894, Hualpén",23,3600000
23441790-8,Antonia,Javier,Soto,Bravo,965739467,antonia.soto116@gmail.com,"Prat 2321, Chiguayante",57,6900000
23253289-0,Catalina,Paz,Lagos,Rivera,923664685,catalina.lagos117@uandresbello.edu,"Maipú 3108, Talcahuano",33,3000000
25716495-0,Sebastián,Matías,González,Rojas,954035489,sebastian.gonzalez118@outlook.com,"Paicaví 1417, Santiago",30,2200000
16439498-0,Martina,Ignacia,Leiva,Castillo,967890531,martina.leiva119@uandresbello.edu,"Janequeo 186, Chiguayante",21,1600000
18393404-K,Daniela,Matías,Tapia,Sepulveda,987692858,daniela.tapia120@uandresbello.edu,"Diagonal Oriente 773, Talcahuano",32,4200000
22620464-4,Benjamín,Gabriel,Figueroa,Medina,954417494,benjamin.figueroa121@gmail.com,"Diagonal Oriente 1236, Chiguayante",48,6100000
17332486-3,Fernanda,Javiera,Campos,Pérez,942955478,fernanda.campos122@outlook.com,"Pedro de Valdivia 2511, Viña del Mar",35,6900000
22396245-9,Martina,María,Torres,González,948131704,martina.torres123@hotmail.com,"Avenida Colón 1002, Talcahuano",27,2500000
21282756-8,Benjamín,,Carrasco,Muñoz,994072098,benjamin.carrasco124@hotmail.com,"San Diego 3823, Concepción",21,2100000
19726204-4,Josefa,Alejandro,Pizarro,Contreras,968942179,josefa.pizarro125@hotmail.com,"Janequeo 2714, Talcahuano",21,900000
20467930-4,Vicente,Belén,Fuentes,Leiva,946574051,vicente.fuentes126@gmail.com,"Rengo 1258, Hualpén",20,2600000
25037727-4,Ignacia,Paz,González,Carrasco,940551159,ignacia.gonzalez127@gmail.com,"Pedro de Valdivia 3929, Santiago",31,6200000
25738111-0,Sofía,Nicolás,Bustos,Reyes,934832562,sofia.bustos128@outlook.com,"Chacabuco 1633, Santiago",32,8200000
16177785-4,Andrés,María,Contreras,Figueroa,993371926,andres.contreras129@gmail.com,"Los Notros 672, Santiago",27,6100000
25932429-7,Ana,Eduardo,Saavedra,Reyes,925255886,ana.saavedra130@hotmail.com,"Prat 3647, Chiguayante",28,1600000
21865372-3,Sofía,Macarena,Figueroa,Leiva,935047237,sofia.figueroa131@outlook.com,"Maipú 208, Chiguayante",32,2700000
22687813-0,Daniela,Macarena,Cáceres,Acosta,961599363,daniela.caceres132@gmail.com,"Avenida Brasil 1300, Concepción",30,6900000
16060428-K,Josefa,Esteban,Bravo,Figueroa,948721222,josefa.bravo133@hotmail.com,"Paicaví 1431, San Pedro de la Paz",23,5000000
23753825-0,Lucas,Alejandra,Leiva,Pérez,971797498,lucas.leiva134@outlook.com,"Caupolicán 2684, Hualpén",51,4300000
18885361-7,Josefa,Gabriel,Silva,Medina,927185554,josefa.silva135@hotmail.com,"Barros Arana 1068, Hualpén",34,5000000
22828283-9,Nicolás,Catalina,Carrasco,Navarro,947135146,nicolas.carrasco136@gmail.com,"Las Heras 1045, Chiguayante",32,2900000
21641641-4,Camila,Vicente,Tapia,Figueroa,905249873,camila.tapia137@hotmail.com,"Lincoyán 386, Talcahuano",46,7000000
22955581-2,Tomás,Gabriel,Leiva,Medina,973898473,tomas.leiva138@gmail.com,"Pedro de Valdivia 2797, Hualpén",57,3800000
24204426-6,Martina,Fernanda,Rivera,Henríquez,941712103,martina.rivera139@hotmail.com,"Diagonal Oriente 2032, Concepción",18,7300000
21513747-3,Isidora,Antonia,Cortés,Araya,987471682,isidora.cortes140@gmail.com,"Chacabuco 3606, Viña del Mar",26,7600000
20119080-0,Maximiliano,Tomás,Vera,Araya,964974185,maximiliano.vera141@gmail.com,"Janequeo 2260, Chiguayante",29,4900000
18881044-6,Andrés,Alejandro,Sepulveda,Molina,958136223,andres.sepulveda142@uandresbello.edu,"Chacabuco 2352, Chiguayante",43,2600000
21336120-1,Francisca,Javier,Aguilera,Rivera,958446561,francisca.aguilera143@uandresbello.edu,"Natanael Cox 1084, Santiago",27,1400000
19535914-8,Tomás,Antonia,Soto,González,960184151,tomas.soto144@uandresbello.edu,"Maipú 3501, Concepción",22,8300000
17024639-K,Sebastián,Eduardo,Aguilera,Vera,956491419,sebastian.aguilera145@gmail.com,"La Coruña 1322, Viña del Mar",50,1000000
24610836-6,Martín,,Pizarro,Carrasco,912614478,martin.pizarro146@outlook.com,"San Diego 3688, Valparaíso",21,1500000
25600366-K,Antonia,Antonio,Saavedra,Tapia,983350134,antonia.saavedra147@gmail.com,"Natanael Cox 1365, Valparaíso",58,7900000
21350503-3,Gabriel,,Araya,Lagos,956028831,gabriel.araya148@outlook.com,"Avenida Brasil 3241, Chiguayante",57,5600000
18809930-0,Paula,Francisco,Aguilera,Valdés,970194601,paula.aguilera149@gmail.com,"Natanael Cox 3869, San Pedro de la Paz",36,4600000
24841929-6,Josefa,Alejandro,Campos,Carrasco,906760320,josefa.campos150@gmail.com,"Prat 1743, Viña del Mar",50,5000000
23406462-2,Sebastián,Antonia,Fuentes,Sepulveda,949318539,sebastian.fuentes151@uandresbello.edu,"Los Carrera 2983, Valparaíso",28,1600000
19356903-K,Bastián,Macarena,Miranda,Carrasco,993369358,bastian.miranda152@outlook.com,"Irarrázaval 3820, San Pedro de la Paz",50,5600000
21157267-1,Maximiliano,,Medina,Acosta,932625776,maximiliano.medina153@outlook.com,"O'Higgins 614, San Pedro de la Paz",29,7900000
17036547-K,María,Josefina,Araya,Bravo,996557012,maria.araya154@outlook.com,"Avenida Brasil 1508, San Pedro de la Paz",40,5500000
18871925-2,Maximiliano,Alejandra,Tapia,Rivera,936204323,maximiliano.tapia155@outlook.com,"Barros Arana 218, Hualpén",26,1000000
22149343-5,Sofía,Belén,Molina,Contreras,989274321,sofia.molina156@outlook.com,"Maipú 3135, Santiago",34,1000000
23012105-2,Martín,Belén,Flores,Valdés,952109328,martin.flores157@gmail.com,"Natanael Cox 2881, Chiguayante",31,4800000
18714858-8,Constanza,Alejandra,Torres,Molina,917543471,constanza.torres158@gmail.com,"Las Heras 2339, Talcahuano",17,8400000
19397742-1,Andrés,Fernanda,Rojas,Tapia,980676878,andres.rojas159@outlook.com,"Pedro de Valdivia 1689, Viña del Mar",38,3400000
25767524-6,Pamela,Javier,Cáceres,Campos,949615954,pamela.caceres160@uandresbello.edu,"Paicaví 723, Chiguayante",19,5500000
22522375-0,Francisca,Fernanda,Aguilera,Leiva,911947180,francisca.aguilera161@hotmail.com,"Pedro de Valdivia 1750, Hualpén",25,6200000
25241868-7,Agustín,,Ortiz,Pizarro,975227476,agustin.ortiz162@hotmail.com,"Lincoyán 1293, Valparaíso",27,5200000
18131669-1,Ignacia,Esteban,Medina,Molina,915441833,ignacia.medina163@hotmail.com,"Irarrázaval 752, San Pedro de la Paz",42,3300000
20519725-7,Antonia,Fernanda,Valdés,Soto,975546464,antonia.valdes164@hotmail.com,"Janequeo 3594, Concepción",29,2300000
17670699-6,Vicente,Matías,Bustos,Pérez,977275697,vicente.bustos165@hotmail.com,"San Diego 2997, Concepción",34,3100000
18016195-3,Martina,Josefina,Leiva,Molina,943005240,martina.leiva166@uandresbello.edu,"Natanael Cox 2041, Chiguayante",39,8000000
18768248-7,Ignacio,Antonia,Campos,Bravo,989222269,ignacio.campos167@uandresbello.edu,"Vicuña Mackenna 3378, San Pedro de la Paz",45,3300000
19893708-8,Ignacio,Andrés,Henríquez,Pizarro,962522449,ignacio.henriquez168@uandresbello.edu,"Paicaví 1364, Valparaíso",25,4300000
16958507-5,Nicolás,Andrés,Cortés,Lagos,977692282,nicolas.cortes169@uandresbello.edu,"Rengo 3596, Valparaíso",46,8300000
16011841-5,Rodrigo,Andrés,Vera,Castillo,911202878,rodrigo.vera170@hotmail.com,"Chacabuco 331, Santiago",33,7100000
21427241-5,Catalina,Andrea,Muñoz,Miranda,954326455,catalina.munoz171@outlook.com,"La Coruña 3559, Hualpén",37,8500000
24124610-8,Sofía,Francisca,Rivera,Castillo,974566187,sofia.rivera172@gmail.com,"Caupolicán 1446, Viña del Mar",34,7200000
25737422-K,Agustín,Nicolás,Molina,Miranda,983363451,agustin.molina173@hotmail.com,"Avenida Brasil 3828, Hualpén",32,4800000
21716725-6,Ana,Paz,Tapia,González,972643630,ana.tapia174@outlook.com,"La Coruña 3826, Chiguayante",20,5900000
21883222-9,Josefa,Esteban,Rojas,Morales,917509580,josefa.rojas175@outlook.com,"Avenida Brasil 1158, Chiguayante",56,4500000
22147607-7,Benjamín,Constanza,Torres,Leiva,900067628,benjamin.torres176@hotmail.com,"Paicaví 2024, Santiago",34,7300000
23682915-4,Valentina,Sebastián,Carrasco,Miranda,922853307,valentina.carrasco177@outlook.com,"Avenida Argentina 3517, Hualpén",60,900000
17143791-1,Joaquín,Felipe,Cáceres,Lagos,998201641,joaquin.caceres178@uandresbello.edu,"Barros Arana 948, Hualpén",62,3400000
19450430-6,Sofía,Catalina,Morales,Gutiérrez,902379242,sofia.morales179@uandresbello.edu,"Avenida Brasil 3022, Santiago",25,3800000
25011846-5,Sebastián,Javier,Gutiérrez,Pérez,944770649,sebastian.gutierrez180@gmail.com,"Avenida Colón 1414, Valparaíso",46,4900000
19403608-6,Josefa,Macarena,Silva,Molina,959871699,josefa.silva181@hotmail.com,"Pedro de Valdivia 102, Talcahuano",49,5000000
19409790-5,Felipe,Paz,Acosta,Bravo,965331984,felipe.acosta182@uandresbello.edu,"Avenida Argentina 2162, Talcahuano",18,3100000
23719960-K,Florencia,Antonia,Flores,Araya,978978723,florencia.flores183@gmail.com,"Caupolicán 2178, Chiguayante",21,4500000
23744785-9,Carmen,Vicente,Pérez,Henríquez,932128715,carmen.perez184@outlook.com,"Natanael Cox 3079, Viña del Mar",30,1100000
24137061-5,Diego,Javier,Henríquez,Morales,934219463,diego.henriquez185@uandresbello.edu,"Avenida Colón 1855, Hualpén",24,7900000
21259349-4,Valentina,Francisca,Pizarro,Valdés,909770589,valentina.pizarro186@uandresbello.edu,"Avenida Argentina 3338, San Pedro de la Paz",55,5800000
17130497-0,Camila,Francisca,Miranda,Ortiz,938487470,camila.miranda187@gmail.com,"Caupolicán 853, Hualpén",19,7100000
18931100-1,Andrés,Catalina,Rojas,Valdés,922175769,andres.rojas188@outlook.com,"Avenida Colón 2036, Santiago",45,2300000
24410863-6,Sofía,Vicente,Flores,Medina,905950918,sofia.flores189@hotmail.com,"Los Aromos 3654, Valparaíso",54,6700000
21538540-K,Diego,Alejandro,Sepulveda,Miranda,962189739,diego.sepulveda190@outlook.com,"Avenida Colón 1301, San Pedro de la Paz",27,5500000
17190004-2,Rodrigo,Esteban,Contreras,Castillo,982024837,rodrigo.contreras191@outlook.com,"Natanael Cox 934, Santiago",48,6000000
17392298-1,Lucas,Francisco,Rojas,Carrasco,952735389,lucas.rojas192@uandresbello.edu,"Natanael Cox 2629, Concepción",16,6000000
22571756-7,Martín,Felipe,Medina,Navarro,914448770,martin.medina193@hotmail.com,"Prat 3347, Valparaíso",16,1200000
21642032-2,Constanza,Belén,Henríquez,Navarro,907206412,constanza.henriquez194@outlook.com,"Prat 2718, Concepción",39,1000000
16386539-4,Cristóbal,Catalina,Cortés,Rivera,955200836,cristobal.cortes195@hotmail.com,"Eyzaguirre 160, Chiguayante",22,3800000
24676294-5,Matías,Vicente,Araya,Cáceres,967690597,matias.araya196@outlook.com,"Maipú 656, Valparaíso",46,3200000
21355081-0,Ana,Isabel,González,Sepulveda,940684729,ana.gonzalez197@gmail.com,"Freire 2619, Concepción",26,5500000
16531290-2,Pablo,Vicente,Molina,Vargas,965279121,pablo.molina198@gmail.com,"Pedro de Valdivia 447, San Pedro de la Paz",59,900000
